frame,count,density
MG Road_1,7,Low
MG Road_10,7,Low
MG Road_100,8,Low
MG Road_101,7,Low
MG Road_102,8,Low
MG Road_103,6,Low
MG Road_104,7,Low
MG Road_105,7,Low
MG Road_106,6,Low
MG Road_107,6,Low
MG Road_108,6,Low
MG Road_109,6,Low
MG Road_11,7,Low
MG Road_110,8,Low
MG Road_111,7,Low
MG Road_112,6,Low
MG Road_113,8,Low
MG Road_114,7,Low
MG Road_115,6,Low
MG Road_116,5,Low
MG Road_117,5,Low
MG Road_118,7,Low
MG Road_119,7,Low
MG Road_12,7,Low
MG Road_120,7,Low
MG Road_121,7,Low
MG Road_122,7,Low
MG Road_123,7,Low
MG Road_124,6,Low
MG Road_125,9,Low
MG Road_126,8,Low
MG Road_127,9,Low
MG Road_128,9,Low
MG Road_129,6,Low
MG Road_13,6,Low
MG Road_130,5,Low
MG Road_131,5,Low
MG Road_132,6,Low
MG Road_133,7,Low
MG Road_134,6,Low
MG Road_135,8,Low
MG Road_136,8,Low
MG Road_137,7,Low
MG Road_138,9,Low
MG Road_139,9,Low
MG Road_14,6,Low
MG Road_140,9,Low
MG Road_141,10,Low
MG Road_142,10,Low
MG Road_143,11,Medium
MG Road_144,9,Low
MG Road_145,9,Low
MG Road_146,8,Low
MG Road_147,9,Low
MG Road_148,9,Low
MG Road_149,9,Low
MG Road_15,6,Low
MG Road_150,10,Low
MG Road_151,11,Medium
MG Road_152,9,Low
MG Road_153,7,Low
MG Road_154,8,Low
MG Road_155,8,Low
MG Road_156,7,Low
MG Road_157,8,Low
MG Road_158,8,Low
MG Road_159,8,Low
MG Road_16,7,Low
MG Road_160,8,Low
MG Road_161,9,Low
MG Road_162,8,Low
MG Road_163,7,Low
MG Road_164,7,Low
MG Road_165,7,Low
MG Road_166,7,Low
MG Road_167,8,Low
MG Road_168,9,Low
MG Road_169,9,Low
MG Road_17,5,Low
MG Road_170,8,Low
MG Road_171,8,Low
MG Road_172,7,Low
MG Road_173,8,Low
MG Road_174,7,Low
MG Road_175,4,Low
MG Road_176,5,Low
MG Road_177,6,Low
MG Road_178,6,Low
MG Road_179,6,Low
MG Road_18,7,Low
MG Road_180,8,Low
MG Road_19,8,Low
MG Road_2,7,Low
MG Road_20,7,Low
MG Road_21,8,Low
MG Road_22,6,Low
MG Road_23,7,Low
MG Road_24,7,Low
MG Road_25,7,Low
MG Road_26,8,Low
MG Road_27,6,Low
MG Road_28,8,Low
MG Road_29,7,Low
MG Road_3,7,Low
MG Road_30,6,Low
MG Road_31,6,Low
MG Road_32,7,Low
MG Road_33,7,Low
MG Road_34,7,Low
MG Road_35,8,Low
MG Road_36,7,Low
MG Road_37,8,Low
MG Road_38,9,Low
MG Road_39,9,Low
MG Road_4,7,Low
MG Road_40,7,Low
MG Road_41,9,Low
MG Road_42,9,Low
MG Road_43,10,Low
MG Road_44,9,Low
MG Road_45,7,Low
MG Road_46,7,Low
MG Road_47,8,Low
MG Road_48,8,Low
MG Road_49,8,Low
MG Road_5,7,Low
MG Road_50,8,Low
MG Road_51,9,Low
MG Road_52,9,Low
MG Road_53,8,Low
MG Road_54,8,Low
MG Road_55,8,Low
MG Road_56,9,Low
MG Road_57,9,Low
MG Road_58,9,Low
MG Road_59,9,Low
MG Road_6,7,Low
MG Road_60,10,Low
MG Road_61,9,Low
MG Road_62,9,Low
MG Road_63,9,Low
MG Road_64,8,Low
MG Road_65,8,Low
MG Road_66,9,Low
MG Road_67,9,Low
MG Road_68,9,Low
MG Road_69,10,Low
MG Road_7,7,Low
MG Road_70,10,Low
MG Road_71,10,Low
MG Road_72,9,Low
MG Road_73,9,Low
MG Road_74,9,Low
MG Road_75,9,Low
MG Road_76,9,Low
MG Road_77,11,Medium
MG Road_78,11,Medium
MG Road_79,9,Low
MG Road_8,7,Low
MG Road_80,8,Low
MG Road_81,9,Low
MG Road_82,10,Low
MG Road_83,9,Low
MG Road_84,9,Low
MG Road_85,8,Low
MG Road_86,8,Low
MG Road_87,9,Low
MG Road_88,8,Low
MG Road_89,8,Low
MG Road_9,7,Low
MG Road_90,10,Low
MG Road_91,10,Low
MG Road_92,10,Low
MG Road_93,10,Low
MG Road_94,9,Low
MG Road_95,10,Low
MG Road_96,11,Medium
MG Road_97,9,Low
MG Road_98,9,Low
MG Road_99,8,Low
