frame,count
1,13
2,13
3,11
4,11
5,11
6,11
7,11
8,12
9,12
10,13
11,12
12,13
13,12
14,11
15,12
16,11
17,10
18,14
19,10
20,9
21,7
22,7
23,9
24,9
25,9
26,9
27,7
28,6
29,5
30,4
31,5
32,4
33,5
34,5
35,4
36,5
37,4
38,4
39,4
40,6
41,4
42,4
43,4
44,4
45,2
46,2
47,2
48,1
49,1
50,2
51,2
52,2
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,2
87,2
88,1
89,4
90,2
91,2
92,3
93,4
94,4
95,3
96,4
97,7
98,5
99,5
100,7
101,6
102,6
103,7
104,11
105,8
106,10
107,6
108,6
109,9
110,10
111,7
112,8
113,6
114,8
115,7
116,5
117,8
118,8
119,9
120,10
121,6
122,5
123,5
124,5
125,6
126,5
127,4
128,4
129,4
130,5
131,4
132,5
133,5
134,6
135,6
136,4
137,5
138,2
139,2
140,4
141,6
142,2
143,2
144,2
145,3
146,3
147,2
148,5
149,3
150,4
151,4
152,4
153,4
154,4
155,3
156,3
157,2
158,3
159,3
160,1
161,2
162,2
163,1
164,1
165,2
166,2
167,2
168,1
169,1
170,1
171,1
175,1
176,1
179,3
180,2
181,1
182,1
183,1
184,1
185,1
186,2
187,1
188,2
189,1
190,1
191,2
192,2
193,1
194,2
